name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Etiwanda Fire,San Bernardino,2143,2014,5/5/2014,4/30/2014,4,5,2191,2
Jacumba Fire,San Diego,29,2014,5/6/2014,5/5/2014,5,1,11738,10
Bernardo Fire,San Diego,1548,2014,5/17/2014,5/13/2014,5,4,11738,10
San Lucas Fire,Monterey,75,2014,5/1/2014,4/30/2014,4,1,475,2
Miguelito Fire,Santa Barbara,632,2014,5/19/2014,5/13/2014,5,6,632,1
Tomahawk Fire,San Diego,5367,2014,5/19/2014,5/14/2014,5,5,11738,10
San Mateo Fire,San Diego,1457,2014,5/20/2014,5/16/2014,5,4,11738,10
Highway Fire,San Diego,380,2014,5/15/2014,5/14/2014,5,1,11738,10
Fiddler Fire,Shasta,50,2014,5/15/2014,5/14/2014,5,1,92739,9
Cocos Fire,San Diego,1995,2014,5/22/2014,5/14/2014,5,8,11738,10
Poinsettia Fire,San Diego,600,2014,5/17/2014,5/14/2014,5,3,11738,10
Indian Fire,Lake,175,2014,5/26/2014,5/25/2014,5,1,4475,2
59 Fire,Tuolumne,402,2014,6/5/2014,6/4/2014,6,1,741,3
Hetch Hetchy Fire,Tuolumne,269,2014,6/6/2014,6/5/2014,6,1,741,3
Hall Fire,Fresno,25,2014,6/9/2014,6/11/2014,6,-2,171,3
Morgan Fire,Fresno,40,2014,6/11/2014,6/9/2014,6,2,171,3
Norman Fire,Solano,70,2014,6/13/2014,6/12/2014,6,1,70,1
Haigh Fire,Mariposa,130,2014,6/13/2014,6/10/2014,6,3,441,2
Shirley Fire,Kern,3895,2014,6/20/2014,6/13/2014,6,7,9620,3
Tehama Fire,Tehama,225,2014,6/13/2014,6/13/2014,6,0,1090,2
Reed Fire,Calaveras,120,2014,6/21/2014,6/20/2014,6,1,205,2
Oak Fire,Calaveras,85,2014,6/24/2014,6/22/2014,6,2,205,2
Butts Fire,Napa,4300,2014,7/9/2014,7/1/2014,7,8,4327,2
Butts Fire,Lake,4300,2014,7/9/2014,7/1/2014,7,8,4475,2
Bible Fire,El Dorado,30,2014,7/9/2014,7/9/2014,7,0,102101,5
Bully Fire,Shasta,12661,2014,7/26/2014,7/11/2014,7,15,92739,9
Monticello Fire,Yolo,6488,2014,7/12/2014,7/4/2014,7,8,6488,1
Gulch Fire,Modoc,1469,2014,7/7/2014,7/3/2014,7,4,16374,4
Modoc Lightning Complex,Modoc,1651,2014,7/3/2014,7/1/2014,7,2,16374,4
West Fire,Trinity,15,2014,7/3/2014,7/1/2014,7,2,476,2
Banner Fire,San Diego,217,2014,7/6/2014,7/3/2014,7,3,11738,10
Marsh Fire,Contra Costa,80,2014,7/12/2014,7/11/2014,7,1,80,1
Cassel Fire,Shasta,75,2014,7/8/2014,7/5/2014,7,3,92739,9
Interlake Fire,San Luis Obispo,47,2014,7/8/2014,7/7/2014,7,1,47,1
Hutto Fire,Nevada,38,2014,7/8/2014,7/7/2014,7,1,369,3
Dry Fire,Shasta,143,2014,7/10/2014,7/9/2014,7,1,92739,9
Nicolls Fire,Kern,1680,2014,7/21/2014,7/11/2014,7,10,9620,3
Wildlife Fire,Butte,72,2014,7/16/2014,7/14/2014,7,2,72,1
Sand Fire,Amador,4240,2014,8/2/2014,7/25/2014,7,8,4240,1
Sand Fire,El Dorado,4240,2014,8/2/2014,7/25/2014,7,8,102101,5
Bald Fire,Shasta,39736,2014,8/15/2014,7/30/2014,7,16,92739,9
Day Fire,Modoc,13153,2014,8/13/2014,7/30/2014,7,14,16374,4
Oregon Gulch Fire (part of the Beaver Complex),Siskiyou,35302,2014,8/18/2014,7/30/2014,7,19,41321,4
Eiler Fire,Shasta,32416,2014,8/25/2014,7/31/2014,7,25,92739,9
Coffee Fire,Shasta,6258,2014,11/14/2014,7/30/2014,7,107,92739,9
Little Deer Fire,Siskiyou,5503,2014,8/18/2014,7/31/2014,7,18,41321,4
Leopard Fire,Shasta,25,2014,8/29/2014,8/29/2014,8,0,92739,9
Pines Fire,Madera,10,2014,12/12/2014,8/26/2014,8,108,942,3
Junction Fire,Madera,612,2014,8/25/2014,8/18/2014,8,7,942,3
Little Fire,Modoc,101,2014,8/13/2014,8/12/2014,8,1,16374,4
Happy Camp Complex,Siskiyou,0,2014,8/14/2014,8/11/2014,8,3,41321,4
Border Fire,San Diego,20,2014,8/17/2014,8/16/2014,8,1,11738,10
Shoemaker Fire,Los Angeles,190,2014,12/12/2014,8/14/2014,8,120,2416,3
Tecolote Fire,Los Angeles,274,2014,12/12/2014,8/17/2014,8,117,2416,3
Boca Fire,Nevada,84,2014,8/19/2014,8/18/2014,8,1,369,3
Way Fire,Kern,4045,2014,8/27/2014,8/18/2014,8,9,9620,3
Oregon Fire,Trinity,461,2014,8/28/2014,8/24/2014,8,4,476,2
Gulch Fire,Shasta,1375,2014,9/16/2014,9/10/2014,9,6,92739,9
Jackson Fire,Tuolumne,70,2014,9/5/2014,9/4/2014,9,1,741,3
Bald Hill 3 Fire,Humboldt,210,2014,9/15/2014,9/12/2014,9,3,543,2
Stage Coach Fire,Napa,27,2014,9/15/2014,9/11/2014,9,4,4327,2
Dog Rock Fire,Mariposa,311,2014,10/12/2014,10/7/2014,10,5,441,2
King Fire,El Dorado,97717,2014,10/9/2014,9/13/2014,9,26,102101,5
Silverado Fire,Orange,968,2014,9/22/2014,9/12/2014,9,10,968,1
Dog Bar Fire,Nevada,247,2014,9/18/2014,9/13/2014,9,5,369,3
Courtney Fire,Madera,320,2014,9/22/2014,9/14/2014,9,8,942,3
Boles Fire,Siskiyou,516,2014,10/11/2014,9/15/2014,9,26,41321,4
Bane Fire,San Bernardino,48,2014,10/17/2014,10/16/2014,10,1,2191,2
Irene Fire,El Dorado,94,2014,9/17/2014,9/14/2014,9,3,102101,5
Cascade Fire,El Dorado,20,2014,9/25/2014,9/25/2014,9,0,102101,5
